区分,項目,2026年7月,2026年8月,2026年9月,2026年10月,2026年11月,2026年12月,2027年1月,2027年2月,2027年3月,2027年4月,2027年5月,2027年6月,年間合計
,,,,,,,,,,,,,,
【参考】受注・稼働,,,,,,,,,,,,,,
,撮影件数（件）,1,1,1,2,2,2,2,2,3,3,3,4,26
,月額サブスク累計（社）,0,0,0,0,1,1,1,2,2,2,3,3,3
,HP管理累計（社）,0,0,0,0,0,1,1,1,2,2,3,3,3
,BtoC撮影（件）,0,0,0,0,0,0,1,0,0,1,0,1,3
,稼働 総person-days,6,6,6,10,12,12,14,16,18,20,22,24,166
,,,,,,,,,,,,,,
【売上高】,,,,,,,,,,,,,,
,サロン撮影売上,35000,35000,35000,70000,70000,70000,70000,70000,105000,105000,105000,140000,910000
,月額サブスク売上,0,0,0,0,29800,29800,29800,59600,59600,59600,89400,89400,447000
,BtoC撮影売上,0,0,0,0,0,0,15000,0,0,15000,0,15000,45000
,HP制作売上（初回一括）,0,0,0,0,50000,0,0,50000,0,50000,0,0,150000
,HP管理月額売上,0,0,0,0,0,15000,15000,15000,30000,30000,45000,45000,195000
,売上高 計,35000,35000,35000,70000,149800,114800,129800,194600,194600,259600,239400,289400,1747000
,,,,,,,,,,,,,,
【売上原価】,,,,,,,,,,,,,,
,交通費（撮影往復）,4000,4000,4000,8000,8000,8000,8000,8000,12000,12000,12000,16000,104000
,消耗品費,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24000
,売上原価 計,6000,6000,6000,10000,10000,10000,10000,10000,14000,14000,14000,18000,128000
,,,,,,,,,,,,,,
,売上総利益（粗利）,29000,29000,29000,60000,139800,104800,119800,184600,180600,245600,225400,271400,1619000
,粗利率（%）,82.9,82.9,82.9,85.7,93.3,91.3,92.3,94.9,92.8,94.6,94.2,93.8,92.7
,,,,,,,,,,,,,,
【販売費及び一般管理費】,,,,,,,,,,,,,,
,役員報酬・給与,72000,72000,72000,120000,144000,144000,168000,192000,216000,240000,264000,288000,1992000
,地代家賃,0,0,0,0,0,0,0,0,0,0,0,0,0
,広告宣伝費,5000,5000,5000,8000,8000,8000,10000,10000,10000,10000,10000,10000,99000
,通信費・水道光熱費,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000
,その他諸経費,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,28800,345600
,販管費 小計,108800,108800,108800,159800,183800,183800,209800,233800,257800,281800,305800,329800,2472600
,,,,,,,,,,,,,,
,営業利益,-79800,-79800,-79800,-99800,-44000,-79000,-90000,-49200,-77200,-36200,-80400,-58400,-853600
,,,,,,,,,,,,,,
,営業外収益,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用,0,0,0,0,0,0,0,0,0,0,0,0,0
,経常利益,-79800,-79800,-79800,-99800,-44000,-79000,-90000,-49200,-77200,-36200,-80400,-58400,-853600
,,,,,,,,,,,,,,
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0
,特別損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,税引前当期純利益,-79800,-79800,-79800,-99800,-44000,-79000,-90000,-49200,-77200,-36200,-80400,-58400,-853600
,,,,,,,,,,,,,,
,法人税・住民税及び事業税,0,35000,0,0,0,0,0,35000,0,0,0,0,70000
,当期純利益,-79800,-114800,-79800,-99800,-44000,-79000,-90000,-84200,-77200,-36200,-80400,-58400,-923600
,,,,,,,,,,,,,,
【参考】累積損益,-79800,-194600,-274400,-374200,-418200,-497200,-587200,-671400,-748600,-784800,-865200,-923600,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
【前提条件】,,,,,,,,,,,,,,
,サロン撮影単価（円/件）,35000,,,,,,,,,,,
,月額サブスク単価（円/社）,29800,,,,,,,,,,,
,BtoC撮影単価（円/件）,15000,,,,,,,,,,,
,HP制作単価（円/件）,50000,,,,,,,,,,,
,HP管理月額（円/社）,15000,,,,,,,,,,,
,交通費（円/件）,4000,,,,,,,,,,,
,消耗品費（円/月）,2000,,,,,,,,,,,
,person-day単価（円）,12000,,,,,,,,,,,
,地代家賃,0（自宅兼事務所）,,,,,,,,,,,
,法人税,均等割のみ（赤字につき）年7万・8月2月に分割計上,,,,,,,,,,,
,,,,,,,,,,,,,,
【その他諸経費 内訳 月額固定28800円】,,,,,,,,,,,,,,
,Adobe CC,7000,,,,,,,,,,,
,AIツール（ChatGPT/Claude/Runway等）,8000,,,,,,,,,,,
,音源サブスク,2000,,,,,,,,,,,
,ストレージ・クラウド,1500,,,,,,,,,,,
,サーバー・ドメイン,2000,,,,,,,,,,,
,機材減価償却（30万÷48ヶ月）,6300,,,,,,,,,,,
,雑費,2000,,,,,,,,,,,
,合計,28800,,,,,,,,,,,
