id,category,prefecture,area,name,animal_type,detail,hp_url,phone,status,notes
1,ブリーダー,東京都,世田谷区,トプカピ犬舎（上田良子）,犬,トイプードル,https://www.min-breeder.com/breeder_topukapi.html,,未送信,個人ブリーダー
2,ブリーダー,東京都,世田谷区,倉上愛実ブリーダー,犬,,https://www.min-breeder.com/breeder_kurakami.html,,未送信,宇奈根の個人ブリーダー
3,ブリーダー,東京都,世田谷区,阿部ブリーダー,犬,ボーダーコリー・フラットコーテッドレトリーバー,http://www.koinuhanbai.com/breederlist/B041501.html,,未送信,自宅完全室内飼育の家庭犬ブリーダー
4,ブリーダー,東京都,世田谷区,チワワハウス,犬,チワワ,https://www.petstation.jp/shop/4076,,未送信,営業時間11-15時
5,ブリーダー,東京都,世田谷区,ケンネル高輪,犬猫両方,,https://kenneltakanawa.com/,,未送信,幅広い犬種猫種を扱う小規模店舗
6,ブリーダー,東京都,世田谷区（等々力）,キャッテリーリビア（小林美里）,猫,マンチカン・ノルウェージャンフォレストキャット,https://www.koneko-breeder.com/breeder_g510326.html,,未送信,個人キャッテリー
7,ブリーダー,東京都,世田谷区,ドッグステージ,犬,ボストンテリア,http://www.dog-stage.com/,03-5477-8633,未送信,ブリーディング歴25年・水曜定休
8,ブリーダー,東京都,渋谷区（富ヶ谷）,土屋由樹子ブリーダー（アクアマリン）,犬,,https://www.min-breeder.com/breeder_aquamarine.html,,未送信,個人ブリーダー
9,ブリーダー,東京都,八王子市（下柚木）,伊志嶺久美子ブリーダー,犬,,https://www.min-breeder.com/breeder_Danki1221.html,,未送信,ショー参加経験あり
10,ブリーダー,東京都,八王子市（片倉町）,宮重尚志ブリーダー（Petit Famille）,犬,,https://www.min-breeder.com/breeder_p314062.html,,未送信,個人犬舎
11,ブリーダー,東京都,八王子市（宮下町）,Flower Angel（楢本里美）,犬,トイプードル,https://flowerangel.p-kit.com/,,未送信,個人ブリーダー
12,ブリーダー,東京都,八王子市,チワワ専門犬舎ONEWAY,犬,チワワ,https://www.petstation.jp/shop/3651,,未送信,チワワ専門・少数繁殖方針
13,ブリーダー,東京都,町田市（小山町）,石井博ブリーダー,犬,,https://www.breeder-navi.jp/breeder/1869,,未送信,ブリーダーナビ掲載
14,ブリーダー,東京都,町田市（相原町）,Dog Forest（安藤正樹）,犬,ラブラドールレトリーバー,https://www.dogforest.jp/,,未送信,親犬見学は八王子・子犬見学は町田
15,ブリーダー,東京都,町田市,ペットショップKAKO,犬,,https://www.e-puppy.jp/,,未送信,町田駅徒歩5分・ブリーダー直営
16,ブリーダー,東京都,江戸川区,柴犬本舗,犬,柴犬,https://shibakenhonpo.tokyo/,,未送信,柴犬専門自家繁殖犬舎
17,ブリーダー,東京都,江戸川区（一之江）,ボブテイルシュウ東京,犬,フレンチブルドッグ,https://bobtailshu.tokyo/,03-6231-4523,未送信,営業10:00-19:00不定休
18,ブリーダー,東京都,江戸川区,トゥルーベストティファニー（江戸川店）,犬,トイプードル,https://www.truebesttiffany.jp/tokyo/index_edogawa.htm,,未送信,トイプードル専門犬舎チェーン
19,ブリーダー,東京都,中野区,トゥルーベストティファニー（中野店）,犬,トイプードル,https://www.truebesttiffany.jp/tokyo/index_nakano.htm,,未送信,トイプードル専門犬舎チェーン
20,ブリーダー,東京都,江戸川区（東小岩）,加藤慶喜ブリーダー（JEWEL加藤犬舎）,犬,,https://www.min-breeder.com/breeder_katou2940.html,,未送信,個人犬舎
21,ブリーダー,東京都,江戸川区（船堀）,加藤ひさ子ブリーダー（南十字星）,犬,,https://www.min-breeder.com/breeder_135.love3396.html,,未送信,個人ブリーダー
22,ブリーダー,東京都,江戸川区,飯野勲ブリーダー,猫,,https://www.koneko-breeder.com/breeder_g275410.html,,未送信,個人ブリーダー（猫）
23,ブリーダー,東京都,足立区,ジュエルズドッグ,犬,トイプードル,https://jewelsdog.jp/,,未送信,自家繁殖33年・トリミングサロン併設
24,ブリーダー,東京都,足立区（西新井）,新井原博ブリーダー,犬,,https://www.min-breeder.com/breeder_rimi0419.html,,未送信,平日土日11-16時事前予約制
25,ブリーダー,東京都,足立区,ペットブティック（中央ペットフード）,犬,,https://www.chuo-pet-food.com/,,未送信,子犬販売・ブリーダー
26,ブリーダー,東京都,江東区（北砂）,ネコピアノ,猫,ラグドール,https://nekopiano.jp/,090-2738-2523,未送信,ラグドール専門ブリーダー
27,ブリーダー,東京都,足立区,臼井綾菜ブリーダー,猫,ラグドール・サイベリアン,https://note.com/petzik_breeder_/n/n27939740fac6,,未送信,一軒家で3名体制のブリーディング
28,ブリーダー,東京都,エリア不明,中村光子ブリーダー,犬,マルチーズ,https://koinunomado.com/breeders_data/html/breeder-12779.php,,未送信,マルチーズブリーディング歴30年超
29,ブリーダー,東京都,エリア不明,ドッグリアン東京,犬,マルチーズ,http://dog-lien.com/puppy/493,,未送信,ブリーダー直販
