id,prefecture,area,breeder_name,animal_type,main_breed,hp_url,phone,status,notes
1,神奈川県,厚木市,氏家孝明ブリーダー,犬,,https://www.breeder-navi.jp/breeder/3209,,未訪問,厚木市下川入330-4・ブリーダーナビ掲載
2,神奈川県,厚木市,花上厚木繁殖場,犬,柴犬・チワワ・トイプードル・パピヨン・ペキニーズ・ポメラニアン・ミニチュアダックス・ミニピン・ミックス犬,https://kanape-sagami.com/life/hanakamiatugi/,,未訪問,取扱犬種が幅広い・要一次情報確認
3,神奈川県,厚木市,箭内ブリーダー,犬,チワワ（ロング・スムース）,,,未訪問,厚木市下荻野789-3・チワワ専門・事前予約制
4,神奈川県,相模原市緑区,梶ブリーダー,犬,チワワ・チワワミックス,,,未訪問,2025年評判ランキング上位（既存リストより）
5,神奈川県,相模原市,小山ブリーダー,犬,ダルメシアン,http://www.koinuhanbai.com/breederlist/B030801.html,,未訪問,チャンピオン犬在籍
6,神奈川県,座間市,皆原飯島繁殖場,犬,トイプードル・チワワ・ポメラニアン・柴犬・ミニチュアダックス・フレンチブルドッグ,https://www.petstation.jp/shop/3572,,未訪問,座間駅徒歩7分・見学可・駐車場あり
7,神奈川県,座間市/海老名市,PWAN（小型犬ブリーダー）,犬,ダックス・マルチーズ・柴犬・プードル・ポメラニアン・マルプー,,,未訪問,ジモティー掲載・予約制見学
8,神奈川県,座間市/海老名市,LiANGE(大森愛),犬,ダックスフンド中心の小型犬,https://liange.pw/,046-259-7527,未訪問,座間市で自家繁殖・海老名市に店舗（既存リストより）
9,東京都,八王子市（下柚木）,伊志嶺久美子ブリーダー,犬,,https://www.min-breeder.com/breeder_Danki1221.html,,未訪問,ショー参加経験あり（既存リストより）
10,東京都,八王子市（片倉町）,宮重尚志ブリーダー（Petit Famille）,犬,,https://www.min-breeder.com/breeder_p314062.html,,未訪問,個人犬舎（既存リストより）
11,東京都,八王子市（宮下町）,Flower Angel（楢本里美）,犬,トイプードル,https://flowerangel.p-kit.com/,,未訪問,個人ブリーダー（既存リストより）
12,東京都,八王子市,チワワ専門犬舎ONEWAY,犬,チワワ,https://www.petstation.jp/shop/3651,,未訪問,チワワ専門・少数繁殖方針（既存リストより）
13,東京都,八王子市（横山町）,小泉明ブリーダー,犬,,https://www.breeder-navi.jp/breeder/1771,,未訪問,ブリーダーナビ掲載
14,東京都,八王子市（下恩方町）,松波留理子ブリーダー（オレンジペコ）,犬,,https://www.breeder-navi.jp/breeder/857,,未訪問,木曜以外14時以降見学可・要予約
15,東京都,八王子市,BorisVian,犬,トイプードル,https://boris-vian.com/,,未訪問,ペットサロン・トリミング・ブリーディング併設。トリミングサロンとしても提携候補になりうる
16,東京都,町田市（小山町）,石井博ブリーダー,犬,,https://www.breeder-navi.jp/breeder/1869,,未訪問,ブリーダーナビ掲載（既存リストより）
17,東京都,町田市（相原町）,Dog Forest（安藤正樹）,犬,ラブラドールレトリーバー,https://www.dogforest.jp/,,未訪問,親犬見学は八王子・子犬見学は町田（既存リストより）
18,東京都,町田市,ペットショップKAKO,犬,,https://www.e-puppy.jp/,,未訪問,町田駅徒歩5分・ブリーダー直営（既存リストより）
19,東京都,町田市（原町田）,伊藤ブリーダー,犬,ティーカッププードル・ポメラニアン,https://www.itoubreeder.com/,,未訪問,対面説明・現物確認が必要な方針
