id,prefecture,area,groomer_name,hp_url,instagram_url,type,status,notes
1,東京都,目黒区・世田谷区・港区・渋谷区,出張トリミング LUANA,,https://www.instagram.com/luana_pet_groomer/,individual,未送信,代表トリマー岡本ゆき・自宅訪問型
2,東京都・千葉県,東京・千葉エリア,出張トリミング bouquet（大西あゆみ）,https://bouquet.pet/,https://www.instagram.com/bouquet_trim/,individual,未送信,個人経営・犬猫対応
3,東京都,東京23区内,出張トリマーMIYU,https://www.groomer-miyu.com/,https://www.instagram.com/doggroomer.miyu/,individual,未送信,2002年〜・お部屋訪問型・トリミング教室も運営
4,東京都,日野市・立川市・国立市・昭島市・多摩市・八王子市,Animal Life Care ひょっとこ,https://alc-hyottoko.com/,https://www.instagram.com/trimming_hyottoko/,individual,未送信,自宅訪問型出張トリミング
5,東京都（他複数拠点）,横浜都筑店ほかフランチャイズ展開,THE DOG Salon Trimming Wagon,https://thedog-wagon.jp/,https://www.instagram.com/thedog_salon_trimmingwagon/,franchise,未送信,トリミングカーによる出張・フランチャイズ本部
6,東京都,エリア要確認,出張・訪問トリミング GROOM,,https://www.instagram.com/groom_trimming/,individual,未送信,DM等で個別確認要
7,神奈川県,横須賀市・葉山町・横浜市金沢区・三浦市,Dog salon ACO,,https://www.instagram.com/aco_dogsalon/,individual,未送信,横須賀トリミングサロン兼・出張トリミングカー
8,神奈川県,横浜市,横浜出張トリミング dog's paw,https://dogspaw.jp/,https://www.instagram.com/paw.dogs/,individual,未送信,横浜中心の訪問型
9,神奈川県,鎌倉市,LALULU 出張トリミングカー鎌倉,,https://www.instagram.com/kanako_doggroomer/,individual,未送信,トリミングカーで訪問
10,東京都・神奈川県,世田谷区〜川崎市〜横浜市〜町田市（東急田園都市線沿線）,WILL STYLE,https://www.willstyle.jp/,,individual,未送信,横浜市緑区に完全予約制プライベートサロンも併設・IG要確認
11,埼玉県,上尾市・蓮田市・さいたま市,出張トリマーmogu,https://www.mogushampoo.com/,https://www.instagram.com/mogushampoo/,individual,未送信,21年のキャリア・個人経営・トリミング難民支援がコンセプト
12,埼玉県,さいたま市・川口市・蕨市・戸田市,GrooMe!（プラットフォーム）,https://groome.jp/,,platform,未送信,個人トリマーとマッチングするアプリ型サービス・提携先候補として別枠検討
